날짜,소비자심리지수,CSI변화율
2009/12,113.0,
2010/01,115.0,1.7699115044247815
2010/02,112.0,-2.608695652173909
2010/03,112.0,0.0
2010/04,112.0,0.0
2010/05,112.0,0.0
2010/06,114.0,1.7857142857142794
2010/07,114.0,0.0
2010/08,111.0,-2.631578947368418
2010/09,111.0,0.0
2010/10,110.0,-0.9009009009009028
2010/11,113.0,2.7272727272727337
2010/12,112.0,-0.8849557522123908
2011/01,111.0,-0.8928571428571397
2011/02,109.0,-1.8018018018018056
2011/03,99.0,-9.174311926605505
2011/04,101.0,2.020202020202011
2011/05,104.0,2.970297029702973
2011/06,102.0,-1.9230769230769273
2011/07,102.0,0.0
2011/08,98.0,-3.9215686274509776
2011/09,98.0,0.0
2011/10,100.0,2.0408163265306145
2011/11,104.0,4.0000000000000036
2011/12,99.0,-4.807692307692313
2012/01,97.0,-2.020202020202022
2012/02,101.0,4.123711340206193
2012/03,102.0,0.990099009900991
2012/04,105.0,2.941176470588225
2012/05,106.0,0.952380952380949
2012/06,100.0,-5.660377358490565
2012/07,99.0,-1.0000000000000009
2012/08,100.0,1.0101010101010166
2012/09,98.0,-2.0000000000000018
2012/10,99.0,1.0204081632652962
2012/11,99.0,0.0
2012/12,98.0,-1.0101010101010055
2013/01,101.0,3.0612244897959107
2013/02,101.0,0.0
2013/03,103.0,1.980198019801982
2013/04,101.0,-1.9417475728155331
2013/05,103.0,1.980198019801982
2013/06,104.0,0.9708737864077666
2013/07,104.0,0.0
2013/08,104.0,0.0
2013/09,101.0,-2.8846153846153855
2013/10,106.0,4.950495049504955
2013/11,107.0,0.9433962264151052
2013/12,106.0,-0.9345794392523366
2014/01,109.0,2.8301886792452935
2014/02,108.0,-0.917431192660545
2014/03,108.0,0.0
2014/04,108.0,0.0
2014/05,104.0,-3.703703703703709
2014/06,107.0,2.8846153846153744
2014/07,105.0,-1.869158878504673
2014/08,106.0,0.952380952380949
2014/09,107.0,0.9433962264151052
2014/10,105.0,-1.869158878504673
2014/11,103.0,-1.904761904761909
2014/12,101.0,-1.9417475728155331
2015/01,102.0,0.990099009900991
2015/02,103.0,0.9803921568627416
2015/03,101.0,-1.9417475728155331
2015/04,104.0,2.970297029702973
2015/05,105.0,0.9615384615384581
2015/06,98.0,-6.666666666666665
2015/07,100.0,2.0408163265306145
2015/08,101.0,1.0000000000000009
2015/09,103.0,1.980198019801982
2015/10,105.0,1.9417475728155331
2015/11,105.0,0.0
2015/12,102.0,-2.857142857142858
2016/01,100.0,-1.9607843137254943
2016/02,97.9,-2.0999999999999908
2016/03,100.0,2.1450459652706755
2016/04,101.5,1.4999999999999902
2016/05,99.2,-2.266009852216744
2016/06,98.8,-0.40322580645162365
2016/07,101.0,2.2267206477732726
2016/08,101.9,0.8910891089108919
2016/09,101.8,-0.09813542688911214
2016/10,102.0,0.19646365422396617
2016/11,95.7,-6.176470588235294
2016/12,94.1,-1.6718913270637459
2017/01,93.3,-0.8501594048884176
2017/02,94.4,1.1789924973204746
2017/03,96.7,2.4364406779660897
2017/04,101.2,4.653567735263708
2017/05,108.0,6.719367588932812
2017/06,110.8,2.592592592592591
2017/07,110.9,0.09025270758122872
2017/08,109.6,-1.1722272317403193
2017/09,107.4,-2.007299270072982
2017/10,108.9,1.3966480446927276
2017/11,112.0,2.846648301193744
2017/12,110.6,-1.2500000000000067
2018/01,110.7,0.0904159132007365
2018/02,109.0,-1.5356820234869062
2018/03,108.9,-0.09174311926605228
2018/04,107.9,-0.9182736455463747
2018/05,108.8,0.8341056533827551
2018/06,106.3,-2.297794117647056
2018/07,101.8,-4.233301975540926
2018/08,99.9,-1.8664047151276897
2018/09,100.7,0.800800800800805
2018/10,99.9,-0.7944389275074459
2018/11,96.5,-3.4034034034034044
2018/12,97.6,1.139896373056981
2019/01,98.3,0.7172131147541005
2019/02,100.3,2.0345879959308144
2019/03,100.5,0.1994017946161497
2019/04,102.4,1.8905472636816079
2019/05,98.7,-3.61328125
2019/06,98.4,-0.3039513677811523
2019/07,96.9,-1.5243902439024404
2019/08,93.5,-3.5087719298245723
2019/09,97.9,4.705882352941182
2019/10,99.5,1.6343207354443168
2019/11,101.7,2.2110552763819014
2019/12,101.3,-0.3933136676499527
2020/01,104.8,3.455083909180656
2020/02,97.8,-6.6793893129771025
2020/03,80.4,-17.791411042944784
2020/04,73.3,-8.830845771144292
2020/05,79.7,8.731241473397011
2020/06,83.7,5.018820577164362
2020/07,85.9,2.628434886499398
2020/08,89.7,4.42374854481955
2020/09,81.4,-9.253065774804902
2020/10,92.9,14.12776412776413
2020/11,99.0,6.566200215285245
2020/12,91.2,-7.878787878787874
2021/01,95.4,4.6052631578947345
2021/02,97.4,2.0964360587002018
2021/03,100.5,3.182751540041062
2021/04,102.2,1.691542288557213
2021/05,105.3,3.033268101761255
2021/06,110.3,4.7483380816714105
2021/07,103.2,-6.436990027198542
2021/08,102.5,-0.6782945736434121
2021/09,103.8,1.2682926829268304
2021/10,106.8,2.8901734104046284
2021/11,107.6,0.7490636704119868
2021/12,103.9,-3.438661710037161
2022/01,104.7,0.7699711260827691
2022/02,103.3,-1.3371537726838634
2022/03,103.5,0.1936108422071703
2022/04,104.1,0.5797101449275255
2022/05,102.9,-1.1527377521613702
2022/06,96.7,-6.025267249757049
2022/07,86.3,-10.754912099276115
2022/08,89.0,3.128621089223649
2022/09,91.6,2.921348314606731
2022/10,89.0,-2.8384279475982432
2022/11,86.7,-2.5842696629213457
2022/12,90.2,4.036908881199541
2023/01,90.7,0.5543237250554389
2023/02,90.2,-0.5512679162072764
2023/03,92.0,1.9955654101995624
2023/04,95.1,3.3695652173912904
2023/05,98.0,3.0494216614090464
2023/06,100.7,2.7551020408163263
2023/07,103.2,2.482621648460781
2023/08,103.1,-0.09689922480621282
